entry_id,tap_id,employee_email,employee_name,department,authority_level,quarter,month,tap_type_id,tap_class,points,amount_usd,status
INC000001,TAP000001,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000002,TAP000002,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000003,TAP000003,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000004,TAP000004,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000005,TAP000005,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000006,TAP000006,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000007,TAP000010,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000008,TAP000011,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000009,TAP000012,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000010,TAP000013,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000011,TAP000014,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
INC000012,TAP000016,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,FY27-Q1,2026-02,denial_reason_classification,tactical,0.5,6.0,paid
