response_id,tap_id,tap_type_id,tap_class,month,responder_email,responder_name,responder_department,responder_authority,responded_at,minutes_to_respond,outcome,answer,deflected_to,rationale,quality_score,rated_worth_asking,durable,reversed_at
RSP000001,TAP000001,denial_reason_classification,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-08T16:04:00,54,answered,Timely filing,,,0.92,false,true,
RSP000002,TAP000002,denial_reason_classification,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-03T10:06:00,7,answered,Authorization or referral,,,0.88,,true,
RSP000003,TAP000003,denial_reason_classification,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-12T14:52:00,59,answered,Timely filing,,,0.68,true,true,
RSP000004,TAP000004,denial_reason_classification,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-22T12:12:00,16,answered,Eligibility or coverage,,,1.0,,true,
RSP000005,TAP000005,denial_reason_classification,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-02T16:23:00,47,answered,Authorization or referral,,,0.75,,true,
RSP000006,TAP000006,denial_reason_classification,tactical,2026-02,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-02-04T14:54:00,18,answered,Coding or documentation,,,0.94,,true,
RSP000007,TAP000007,denial_reason_classification,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-10T13:50:00,20,answered,Not sure -- route to a coder,,see thread,0.5,,false,2026-03-05T13:50:00
RSP000008,TAP000009,denial_reason_classification,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-02-10T19:23:00,9,answered,Authorization or referral,,,0.8,,false,
RSP000009,TAP000010,denial_reason_classification,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-14T13:22:00,92,answered,Clinical / medical necessity,,,0.78,,true,
RSP000010,TAP000011,denial_reason_classification,tactical,2026-02,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-02-27T17:58:00,24,answered,Clinical / medical necessity,,,0.79,,true,
RSP000011,TAP000012,denial_reason_classification,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-01T15:06:00,126,answered,Authorization or referral,,,0.8,true,true,
RSP000012,TAP000013,denial_reason_classification,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-26T18:48:00,36,answered,Authorization or referral,,,0.79,true,true,
RSP000013,TAP000014,denial_reason_classification,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-16T15:20:00,17,answered,Clinical / medical necessity,,,0.97,true,true,
RSP000014,TAP000015,denial_reason_classification,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-28T16:02:00,22,answered,Clinical / medical necessity,,,0.59,,true,
RSP000015,TAP000016,denial_reason_classification,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-02-04T13:24:00,9,answered,Coding or documentation,,,0.63,true,true,
RSP000016,TAP000017,denial_reason_classification,tactical,2026-02,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-02-06T11:51:00,59,answered,Not sure -- route to a coder,,see thread,0.48,true,false,
RSP000017,TAP000018,denial_reason_classification,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-17T12:02:00,54,answered,Authorization or referral,,,0.78,true,true,
RSP000018,TAP000020,denial_reason_classification,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-02-18T19:48:00,7,answered,Timely filing,,,0.74,true,true,
RSP000019,TAP000021,denial_reason_classification,tactical,2026-02,rpatel@northharbor.health,Rohan Patel,Revenue Cycle,ic,2026-02-05T10:00:00,24,deflected,,thoffman@northharbor.health,,1.0,,false,
RSP000020,TAP000022,denial_reason_classification,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-07T17:42:00,154,answered,Clinical / medical necessity,,,0.78,false,true,
RSP000021,TAP000023,denial_reason_classification,tactical,2026-02,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-02-06T15:36:00,18,answered,Eligibility or coverage,,,0.85,,true,
RSP000022,TAP000024,denial_reason_classification,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-09T19:05:00,40,answered,Not sure -- route to a coder,,see thread,0.43,false,false,2026-03-25T19:05:00
RSP000023,TAP000025,denial_reason_classification,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-05T15:13:00,104,answered,Clinical / medical necessity,,,0.83,true,true,
RSP000024,TAP000027,denial_reason_classification,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-19T10:00:00,13,answered,Clinical / medical necessity,,,0.65,true,true,
RSP000025,TAP000029,denial_reason_classification,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-05T17:03:00,31,answered,Clinical / medical necessity,,,0.61,,true,
RSP000026,TAP000030,denial_reason_classification,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-15T16:56:00,43,answered,Clinical / medical necessity,,,0.9,true,true,
RSP000027,TAP000031,denial_reason_classification,tactical,2026-02,thoffman@northharbor.health,Tobias Hoffman,Revenue Cycle,ic,2026-02-12T13:03:00,66,answered,Coding or documentation,,,0.66,,true,
RSP000028,TAP000032,denial_reason_classification,tactical,2026-02,ysong@northharbor.health,Yuna Song,Revenue Cycle,lead,2026-02-22T17:28:00,36,answered,Eligibility or coverage,,,0.74,,true,
RSP000029,TAP000033,denial_reason_classification,tactical,2026-02,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-02-24T13:39:00,113,answered,Timely filing,,,0.58,true,false,
RSP000030,TAP000035,denial_reason_classification,tactical,2026-02,mdiallo@northharbor.health,Mariam Diallo,Revenue Cycle,ic,2026-02-06T15:27:00,95,answered,Coding or documentation,,,0.83,true,false,
RSP000031,TAP000036,denial_reason_classification,tactical,2026-02,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-02-05T18:05:00,43,answered,Timely filing,,,0.73,true,true,
RSP000032,TAP000037,denial_reason_classification,tactical,2026-02,nabara@northharbor.health,Nkechi Abara,Revenue Cycle,ic,2026-02-06T09:56:00,27,answered,Timely filing,,,0.69,true,true,
RSP000033,TAP000038,denial_reason_classification,tactical,2026-02,kobrien@northharbor.health,Kate O'Brien,Revenue Cycle,ic,2026-02-26T18:10:00,141,answered,Timely filing,,,0.72,true,true,
