writeback_id,tap_id,tap_type_id,tap_class,target,artifact_ref,status,created_at,landed_at,reviewer_email,batched
WBK000001,TAP000001,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-08T16:04:00,2026-02-08T16:04:00,,true
WBK000002,TAP000002,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-03T10:06:00,2026-02-03T10:06:00,,true
WBK000003,TAP000003,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-12T14:52:00,2026-02-12T14:52:00,,true
WBK000004,TAP000004,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-22T12:12:00,2026-02-22T12:12:00,,true
WBK000005,TAP000005,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-02T16:23:00,2026-02-02T16:23:00,,true
WBK000006,TAP000006,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-04T14:54:00,2026-02-04T14:54:00,,true
WBK000007,TAP000007,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-10T13:50:00,2026-02-10T13:50:00,,true
WBK000008,TAP000009,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-10T19:23:00,2026-02-10T19:23:00,,true
WBK000009,TAP000010,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-14T13:22:00,2026-02-14T13:22:00,,true
WBK000010,TAP000011,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-27T17:58:00,2026-02-27T17:58:00,,true
WBK000011,TAP000012,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-01T15:06:00,2026-02-01T15:06:00,,true
WBK000012,TAP000013,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-26T18:48:00,2026-02-26T18:48:00,,true
WBK000013,TAP000014,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-16T15:20:00,2026-02-16T15:20:00,,true
WBK000014,TAP000015,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-28T16:02:00,2026-02-28T16:02:00,,true
WBK000015,TAP000016,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-04T13:24:00,2026-02-04T13:24:00,,true
WBK000016,TAP000017,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-06T11:51:00,2026-02-06T11:51:00,,true
WBK000017,TAP000018,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-17T12:02:00,2026-02-17T12:02:00,,true
WBK000018,TAP000020,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-18T19:48:00,2026-02-18T19:48:00,,true
WBK000019,TAP000022,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-07T17:42:00,2026-02-07T17:42:00,,true
WBK000020,TAP000023,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-06T15:36:00,2026-02-06T15:36:00,,true
WBK000021,TAP000024,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-09T19:05:00,2026-02-09T19:05:00,,true
WBK000022,TAP000025,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-05T15:13:00,2026-02-05T15:13:00,,true
WBK000023,TAP000027,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-19T10:00:00,2026-02-19T10:00:00,,true
WBK000024,TAP000029,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-05T17:03:00,2026-02-05T17:03:00,,true
WBK000025,TAP000030,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-15T16:56:00,2026-02-15T16:56:00,,true
WBK000026,TAP000031,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-12T13:03:00,2026-02-12T13:03:00,,true
WBK000027,TAP000032,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-22T17:28:00,2026-02-22T17:28:00,,true
WBK000028,TAP000033,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-24T13:39:00,2026-02-24T13:39:00,,true
WBK000029,TAP000035,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-06T15:27:00,2026-02-06T15:27:00,,true
WBK000030,TAP000036,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-05T18:05:00,2026-02-05T18:05:00,,true
WBK000031,TAP000037,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-06T09:56:00,2026-02-06T09:56:00,,true
WBK000032,TAP000038,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-26T18:10:00,2026-02-26T18:10:00,,true
WBK000033,TAP000039,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-25T19:08:00,2026-02-25T19:08:00,,true
WBK000034,TAP000040,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-05T13:45:00,2026-02-05T13:45:00,,true
WBK000035,TAP000041,denial_reason_classification,tactical,override_table,tapiq_overrides.denial_reason_category,applied,2026-02-06T18:11:00,2026-02-06T18:11:00,,true
WBK000036,TAP000044,charge_capture_variance,tactical,override_table,tapiq_overrides.charge_variance_notes,applied,2026-02-23T20:35:00,2026-02-23T20:35:00,,true
WBK000037,TAP000047,charge_capture_variance,tactical,override_table,tapiq_overrides.charge_variance_notes,applied,2026-02-14T19:07:00,2026-02-14T19:07:00,,true
WBK000038,TAP000049,charge_capture_variance,tactical,override_table,tapiq_overrides.charge_variance_notes,applied,2026-02-03T14:23:00,2026-02-03T14:23:00,,true
WBK000039,TAP000050,charge_capture_variance,tactical,override_table,tapiq_overrides.charge_variance_notes,applied,2026-02-17T14:07:00,2026-02-17T14:07:00,,true
WBK000040,TAP000051,charge_capture_variance,tactical,override_table,tapiq_overrides.charge_variance_notes,applied,2026-02-18T10:32:00,2026-02-18T10:32:00,,true
